Year,club_name,overall,value_eur,age
2015,Derby County,68,775000.0,29
2015,Burnley,68,900000.0,29
2015,Reading,68,925000.0,30
2015,Burnley,68,825000.0,30
2015,Brighton & Hove Albion,68,925000.0,30
2015,Wolverhampton Wanderers,68,900000.0,27
2015,Reading,68,950000.0,28
2015,Watford,68,750000.0,31
2015,Ipswich Town,68,675000.0,32
2015,Brighton & Hove Albion,68,825000.0,30
2015,Newcastle United,68,950000.0,28
2015,Chelsea,68,950000.0,28
2015,Huddersfield Town,68,1100000.0,26
2015,Birmingham City,68,1100000.0,26
2015,Bournemouth,68,800000.0,32
2015,Leeds United,68,975000.0,26
2015,Hull City,68,950000.0,28
2015,Stoke City,68,725000.0,29
2015,Fulham,68,1100000.0,26
2015,Chelsea,68,825000.0,28
2015,Newcastle United,68,1100000.0,25
2015,Charlton Athletic,68,925000.0,26
2015,Burnley,68,1100000.0,25
2015,Leeds United,68,1100000.0,25
2015,Wolverhampton Wanderers,68,1100000.0,25
2015,Huddersfield Town,68,1100000.0,27
2015,Burnley,68,950000.0,28
2015,Leeds United,68,950000.0,25
2015,Chelsea,68,700000.0,30
2015,Chelsea,68,1000000.0,27
2015,Manchester City,68,825000.0,22
2015,Birmingham City,68,1000000.0,24
2015,Huddersfield Town,68,1000000.0,24
2015,Manchester City,68,1100000.0,25
2015,Cardiff City,68,725000.0,29
2015,Cardiff City,68,800000.0,23
2015,Hull City,68,1100000.0,25
2015,Blackburn Rovers,68,1200000.0,25
2015,Queens Park Rangers,68,900000.0,24
2015,Brighton & Hove Albion,68,825000.0,22
2015,Blackpool,68,900000.0,27
2015,Blackburn Rovers,68,825000.0,22
2015,Wolverhampton Wanderers,68,825000.0,22
2015,Middlesbrough,68,800000.0,23
2015,Ipswich Town,68,825000.0,22
2015,West Bromwich Albion,68,900000.0,24
2015,Wolverhampton Wanderers,68,800000.0,23
2015,Watford,68,1000000.0,23
2015,Wolverhampton Wanderers,68,975000.0,26
2015,Brentford,68,1000000.0,23
2015,Newcastle United,68,825000.0,22
2015,Tottenham Hotspur,68,825000.0,21
2015,Wolverhampton Wanderers,68,925000.0,22
2015,Burnley,68,750000.0,19
2015,Charlton Athletic,68,925000.0,22
2015,Manchester City,68,925000.0,21
2015,Bournemouth,68,825000.0,20
2015,Leeds United,68,625000.0,19
2015,Manchester City,67,475000.0,33
2015,Watford,67,275000.0,33
2015,Blackburn Rovers,67,375000.0,34
2015,Hull City,67,700000.0,29
2015,Norwich City,67,550000.0,31
2015,Derby County,67,625000.0,31
2015,Watford,67,450000.0,31
2015,Ipswich Town,67,600000.0,30
2015,Manchester City,67,550000.0,31
2015,Bournemouth,67,550000.0,29
2015,Derby County,67,500000.0,30
2015,Watford,67,550000.0,31
2015,Crystal Palace,67,450000.0,31
2015,Blackburn Rovers,67,600000.0,28
2015,Burnley,67,,36
2015,Brighton & Hove Albion,67,400000.0,32
2015,Brighton & Hove Albion,67,300000.0,33
2015,Hull City,67,550000.0,29
2015,Derby County,67,800000.0,27
2015,Wolverhampton Wanderers,67,700000.0,29
2015,Chelsea,67,600000.0,30
2015,Ipswich Town,67,600000.0,28
2015,Leeds United,67,675000.0,30
2015,Birmingham City,67,600000.0,28
2015,Sheffield United,67,675000.0,30
2015,Middlesbrough,67,675000.0,28
2015,Wolverhampton Wanderers,67,750000.0,28
2015,Bournemouth,67,725000.0,27
2015,Wigan Athletic,67,775000.0,26
2015,Hull City,67,550000.0,29
2015,Huddersfield Town,67,650000.0,27
2015,Ipswich Town,67,750000.0,25
2015,Wolverhampton Wanderers,67,700000.0,26
2015,Ipswich Town,67,675000.0,28
2015,Ipswich Town,67,675000.0,25
2015,Blackpool,67,850000.0,26
2015,Ipswich Town,67,800000.0,27
2015,Bournemouth,67,725000.0,27
2015,Middlesbrough,67,825000.0,25
